2017-03-21 01:08:05.072982,855659,360663,275001,Music,Itinerant Arias (Vinyl),WARNER,2017-05-05,https://www.jbhifi.com.au/music/Whats-Hot/singer-songwriter/itinerant-arias-vinyl/360663/
2017-03-21 01:08:09.431903,855666,360684,RSE230,Music,All The Beauty In This Whole Life (Vinyl),WARNER,2017-05-05,https://www.jbhifi.com.au/music/Whats-Hot/rap-hip-hop/all-the-beauty-in-this-whole-life-vinyl/360684/
2017-03-21 01:09:56.399313,855622,360792,STUMM398,Music,Texas-Jerusalem Crossroads- The (Vinyl),UMA,2017-03-31,https://www.jbhifi.com.au/music/Whats-Hot/alternative/texas-jerusalem-crossroads-the-vinyl/360792/
2017-03-21 01:15:17.271066,855619,360800,4831643,Music,Carl Schuricht: The Decca Recordings (Boxset),UMA,2017-03-31,https://www.jbhifi.com.au/music/browse/classical/carl-schuricht-the-decca-recordings-boxset/360800/
2017-03-21 01:17:35.939161,853747,998665,HC-W585MGN-K,Cameras,Panasonic HC-W585M HD Twin Camcorder,PANASONIC,2017-02-14,https://www.jbhifi.com.au/cameras/video-cameras/panasonic/panasonic-hc-w585m-hd-twin-camcorder/998665/
2017-03-21 01:17:40.287813,853764,998668,HC-V785GN-K,Cameras,Panasonic HC-V785GN-K HD Camcorder,PANASONIC,2017-02-14,https://www.jbhifi.com.au/cameras/video-cameras/panasonic/panasonic-hc-v785gn-k-hd-camcorder/998668/
2017-03-21 01:17:44.849977,853763,996811,HC-VX985MGNK,Cameras,Panasonic HC-VX985M 4K UHD Camcorder,PANASONIC,2017-02-14,https://www.jbhifi.com.au/cameras/video-cameras/panasonic/panasonic-hc-vx985m-4k-uhd-camcorder/996811/
2017-03-21 01:17:57.507089,855220,996644,85220,Cameras,Fujifilm Instax Mini Film Black for Instax Mini Cameras (10 Pack),FUJIFILM,2017-03-08,https://www.jbhifi.com.au/cameras/camera-accessories/fujifilm/fujifilm-instax-mini-film-black-for-instax-mini-cameras-10-pack/996644/
2017-03-21 01:20:43.485838,854434,658608,CPH1611BLACK,Phones,Oppo R9s Plus Handset (Black),OPPO,2017-03-01,https://www.jbhifi.com.au/phones/Outright-Mobile-Handsets/oppo/oppo-r9s-plus-handset-black/658608/
2017-03-21 01:21:22.532418,851817,336028,EF-FA520PBEGWW,Phones,Samsung Galaxy A5 Neon Flip Cover (Black),SAMSUNG,2017-02-12,https://www.jbhifi.com.au/phones/all-phones/samsung/samsung-galaxy-a5-neon-flip-cover-black/336028/
2017-03-21 01:22:37.494053,854325,358828,EFPC3AE902BLA,Phones,EFM Car Charger 3.4A Dual USB with MFi Lightning Cable (Black),EFM,2017-02-22,https://www.jbhifi.com.au/phones/all-phones/efm/efm-car-charger-3-4a-dual-usb-with-mfi-lightning-cable-black/358828/
2017-03-21 01:38:02.924162,842800,342421,BTA735SLQ,Whitegoods & Appliances,Breville BTA735 Toast Select Luxe (Salted Liquorice),BREVILLE,2016-10-20,https://www.jbhifi.com.au/whitegoods-appliances/kitchen-appliances/breville/breville-bta735-toast-select-luxe-salted-liquorice/342421/
2017-03-21 01:38:07.385404,842805,312418,BKE735SLQ,Whitegoods & Appliances,Breville BKE735 the Soft Top Luxe Kettle (Salted Liquorice),BREVILLE,2016-10-15,https://www.jbhifi.com.au/whitegoods-appliances/kitchen-appliances/breville/breville-bke735-the-soft-top-luxe-kettle-salted-liquorice/312418/
