2017-04-25 01:27:30.285851,747810,10559,C-122294-9,Movies & TV Shows,Tango & Cash,REEL,2015-06-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/tango-cash/10559/
2017-04-25 01:27:34.972232,803732,705060,C-122380-9,Movies & TV Shows,Mr Magorium's Wonder Emporium,REEL,2015-06-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/family/mr-magoriums-wonder-emporium/705060/
2017-04-25 01:27:39.501654,800913,688746,EAG2890,Movies & TV Shows,Goodbye World,EAGLE ENTERTAINMENT,2015-05-27,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/thriller/goodbye-world/688746/
2017-04-25 01:27:44.606258,803661,704830,MP071,Movies & TV Shows,Let Us Prey,GRYPHON,2015-05-27,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/let-us-prey/704830/
2017-04-25 01:27:49.248653,803687,704798,MP050,Movies & TV Shows,Aftermath,GRYPHON,2015-05-27,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/aftermath/704798/
2017-04-25 01:27:54.455540,804078,700678,EAG2937,Movies & TV Shows,Ninja Apocalypse,EAGLE ENTERTAINMENT,2015-05-27,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/ninja-apocalypse/700678/
2017-04-25 01:27:59.465714,804079,700674,EAG2957,Movies & TV Shows,Morning Star Warrior,EAGLE ENTERTAINMENT,2015-05-27,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/adventure/morning-star-warrior/700674/
2017-04-25 01:28:04.291305,804081,700666,EAG2958,Movies & TV Shows,Missing William,EAGLE ENTERTAINMENT,2015-05-27,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/missing-william/700666/
2017-04-25 01:28:09.394970,804082,700693,EAG2945,Movies & TV Shows,EDM: Enter the Dangerous Mind,EAGLE ENTERTAINMENT,2015-05-27,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/thriller/edm-enter-the-dangerous-mind/700693/
2017-04-25 01:28:14.760279,801500,688895,DVD9813,Movies & TV Shows,Anarchy,UNISPHE,2015-05-27,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/anarchy/688895/
2017-04-25 01:28:19.243498,801780,697781,C-117574-9,Movies & TV Shows,Above The Rim,REEL,2015-05-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/above-the-rim/697781/
2017-04-25 01:28:24.246599,801789,697794,C-117577-9,Movies & TV Shows,8 Seconds,REEL,2015-05-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/8-seconds/697794/
