2017-05-06 01:28:46.489901,672023,290289,8287146,Movies & TV Shows,Ned Kelly,UNISPHE,2011-12-01,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/adventure/ned-kelly/290289/
2017-05-06 01:28:50.729387,509252,289921,8286209,Movies & TV Shows,Hanna,UNISPHE,2011-12-01,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/hanna/289921/
2017-05-06 01:28:55.148111,673310,289901,8286702,Movies & TV Shows,Cape Fear,UNISPHE,2011-11-30,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/thriller/cape-fear/289901/
2017-05-06 01:28:59.319171,673325,289885,8286148,Movies & TV Shows,First Blood,UNISPHE,2011-11-30,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/first-blood/289885/
2017-05-06 01:29:03.717084,673646,289464,8286034,Movies & TV Shows,Bridesmaids,UNISPHE,2011-11-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/bridesmaids/289464/
2017-05-06 01:29:08.286923,717178,289503,AUDVD8686,Movies & TV Shows,Mean Girls 2,UNISPHE,2011-10-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/mean-girls-2/289503/
2017-05-06 01:29:12.918808,674163,288818,AUDVD8803,Movies & TV Shows,Jackass 3.5,UNISPHE,2011-09-01,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/jackass-3-5/288818/
2017-05-06 01:29:17.326567,578991,278889,BD10019,Movies & TV Shows,Taxi Driver,UNISPHE,2011-07-18,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/taxi-driver/278889/
2017-05-06 01:29:22.246052,718681,283689,IFBD665RE,Movies & TV Shows,Red,ICON,2011-03-30,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/red/283689/
2017-05-06 01:29:26.789879,719155,277162,D81259,Movies & TV Shows,Saw: The Final Chapter,UNISPHE,2011-03-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/saw-the-final-chapter/277162/
2017-05-06 01:29:31.757038,511438,277170,B3D81259,Movies & TV Shows,Saw: The Final Chapte,UNISPHE,2011-03-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/saw-the-final-chapte/277170/
2017-05-06 01:29:36.563535,511375,277166,BD81259,Movies & TV Shows,Saw: The Final Chapter,UNISPHE,2011-03-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/saw-the-final-chapter/277166/
2017-05-06 01:29:41.195390,511569,277245,AUDVD8657,Movies & TV Shows,Jackass 3,UNISPHE,2011-03-17,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/jackass-3/277245/
2017-05-06 01:29:45.873226,718951,277230,AUPBD3748,Movies & TV Shows,Jackass 3,UNISPHE,2011-03-17,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/jackass-3/277230/
2017-05-06 01:29:50.378780,719191,277209,AUDVD8681,Movies & TV Shows,Jackass The Movie Uncut,UNISPHE,2011-03-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/jackass-the-movie-uncut/277209/
2017-05-06 01:29:55.133572,675893,277217,AUDVD8683,Movies & TV Shows,Jackass 2.5 Uncut,UNISPHE,2011-03-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/jackass-2-5-uncut/277217/
2017-05-06 01:31:15.960640,858770,448087,FP1638-1,Music,Popular Manipulations (Vinyl),INERTIA,2017-08-11,https://www.jbhifi.com.au/music/Whats-Hot/alternative/popular-manipulations-vinyl/448087/
2017-05-06 01:31:20.464375,857867,442554,IPC193LP,Music,Dead Cross (Clear / Red / Black Swirl Vinyl),UMA,2017-08-04,https://www.jbhifi.com.au/music/Whats-Hot/alternative/dead-cross-clear-red-black-swirl-vinyl/442554/
2017-05-06 01:31:44.474408,858775,448107,SPINE740995,Music,Chaos + Bliss (Vinyl),UMA,2017-06-02,https://www.jbhifi.com.au/music/Whats-Hot/metal-hard-rock/chaos-bliss-vinyl/448107/
2017-05-06 01:31:56.460042,854389,352847,88985410882,Music,Great Country Songbook Volume II,SONY MUSIC SBT,2017-04-28,https://www.jbhifi.com.au/music/browse/country/great-country-songbook-volume-ii/352847/
2017-05-06 01:32:04.504165,855612,360767,88875102362,Music,Americana,SONY MUSIC SBT,2017-04-21,https://www.jbhifi.com.au/music/browse/rock-pop/americana/360767/
2017-05-06 01:32:09.383478,855875,421825,NB39150,Music,Doomsday Kingdom- The (Limited Edition),UMA SBT,2017-04-21,https://www.jbhifi.com.au/music/browse/metal/doomsday-kingdom-the-limited-edition/421825/
2017-05-06 01:32:13.702098,856550,421953,ST39802,Music,Cold Sun- The,UMA SBT,2017-04-21,https://www.jbhifi.com.au/music/browse/metal/cold-sun-the/421953/
